InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
58158511,22481,BLACK TEA TOWEL CLASSIC DESIGN,12,12/9/2011 12:31,0.39,15804,United Kingdom
58158511,22915,ASSORTED BOTTLE TOP  MAGNETS ,24,12/9/2011 12:31,0.19,15804,United Kingdom
58158511,22178,VICTORIAN GLASS HANGING T-LIGHT,12,12/9/2011 12:31,1.95,15804,United Kingdom
58158511,22460,EMBOSSED GLASS TEALIGHT HOLDER,12,12/9/2011 12:31,1.25,15804,United Kingdom
58158511,84832,ZINC WILLIE WINKIE  CANDLE STICK,24,12/9/2011 12:31,0.85,15804,United Kingdom
58158511,23084,RABBIT NIGHT LIGHT,12,12/9/2011 12:31,2.08,15804,United Kingdom
58158511,84879,ASSORTED COLOUR BIRD ORNAMENT,16,12/9/2011 12:31,1.69,15804,United Kingdom
58158511,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,24,12/9/2011 12:31,0.85,15804,United Kingdom
58158511,22113,GREY HEART HOT WATER BOTTLE,4,12/9/2011 12:31,4.25,15804,United Kingdom
58158511,23356,LOVE HOT WATER BOTTLE,3,12/9/2011 12:31,5.95,15804,United Kingdom
58158511,22726,ALARM CLOCK BAKELIKE GREEN,8,12/9/2011 12:31,3.75,15804,United Kingdom
58158511,22727,ALARM CLOCK BAKELIKE RED ,4,12/9/2011 12:31,3.75,15804,United Kingdom
58158511,16016,LARGE CHINESE STYLE SCISSOR,10,12/9/2011 12:31,0.85,15804,United Kingdom
58158511,21916,SET 12 RETRO WHITE CHALK STICKS,24,12/9/2011 12:31,0.42,15804,United Kingdom
58158511,84692,BOX OF 24 COCKTAIL PARASOLS,25,12/9/2011 12:31,0.42,15804,United Kingdom
58158511,84946,ANTIQUE SILVER T-LIGHT GLASS,12,12/9/2011 12:31,1.25,15804,United Kingdom
58158511,21684,SMALL MEDINA STAMPED METAL BOWL ,12,12/9/2011 12:31,0.85,15804,United Kingdom
58158511,22398,MAGNETS PACK OF 4 SWALLOWS,12,12/9/2011 12:31,0.39,15804,United Kingdom
58158511,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,4,12/9/2011 12:31,3.75,15804,United Kingdom
58158511,23145,ZINC T-LIGHT HOLDER STAR LARGE,12,12/9/2011 12:31,0.95,15804,United Kingdom
58158511,22466,FAIRY TALE COTTAGE NIGHT LIGHT,12,12/9/2011 12:31,1.95,15804,United Kingdom
581586,22061,LARGE CAKE STAND  HANGING STRAWBERY,8,12/9/2011 12:49,2.95,13113,United Kingdom
581586,23275,SET OF 3 HANGING OWLS OLLIE BEAK,24,12/9/2011 12:49,1.25,13113,United Kingdom
581586,21217,RED RETROSPOT ROUND CAKE TINS,24,12/9/2011 12:49,8.95,13113,United Kingdom
581586,20685,DOORMAT RED RETROSPOT,10,12/9/2011 12:49,7.08,13113,United Kingdom
581587,22631,CIRCUS PARADE LUNCH BOX ,12,12/9/2011 12:50,1.95,12680,France
581587,22556,PLASTERS IN TIN CIRCUS PARADE ,12,12/9/2011 12:50,1.65,12680,France
581587,22555,PLASTERS IN TIN STRONGMAN,12,12/9/2011 12:50,1.65,12680,France
581587,22728,ALARM CLOCK BAKELIKE PINK,4,12/9/2011 12:50,3.75,12680,France
581587,22727,ALARM CLOCK BAKELIKE RED ,4,12/9/2011 12:50,3.75,12680,France
581587,22726,ALARM CLOCK BAKELIKE GREEN,4,12/9/2011 12:50,3.75,12680,France
581587,22730,ALARM CLOCK BAKELIKE IVORY,4,12/9/2011 12:50,3.75,12680,France
581587,22367,CHILDRENS APRON SPACEBOY DESIGN,8,12/9/2011 12:50,1.95,12680,France
581587,22629,SPACEBOY LUNCH BOX ,12,12/9/2011 12:50,1.95,12680,France
581587,23256,CHILDRENS CUTLERY SPACEBOY ,4,12/9/2011 12:50,4.15,12680,France
581587,22613,PACK OF 20 SPACEBOY NAPKINS,12,12/9/2011 12:50,0.85,12680,France
581587,22899,CHILDREN'S APRON DOLLY GIRL ,6,12/9/2011 12:50,2.1,12680,France
581587,23254,CHILDRENS CUTLERY DOLLY GIRL ,4,12/9/2011 12:50,4.15,12680,France
581587,23255,CHILDRENS CUTLERY CIRCUS PARADE,4,12/9/2011 12:50,4.15,12680,France
581587,22138,BAKING SET 9 PIECE RETROSPOT ,3,12/9/2011 12:50,4.95,12680,France
